,ht,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,win_ratio,top_25_reached
Henri Laaksonen,185.0,3.608695652173913,2.9347826086956523,75.73913043478261,43.76086956521739,29.82608695652174,16.152173913043477,11.282608695652174,4.108695652173913,7.043478260869565,0.742784159072881,0.0
Marius Copil,193.0,8.764705882352942,4.0588235294117645,73.47058823529412,40.61764705882353,31.294117647058822,15.941176470588236,11.411764705882353,3.3529411764705883,5.470588235294118,0.8234314548306867,0.0
Ryan Harrison,183.0,5.04,3.28,73.2,44.64,31.28,13.28,11.36,4.48,7.48,1.3760156878734966,0.0
Mackenzie Mcdonald,178.0,3.78,3.18,70.4,41.58,29.44,13.94,10.82,3.84,6.54,1.224668925528811,0.0
Radu Albot,175.0,2.0,2.4693877551020407,72.57142857142857,47.57142857142857,30.06122448979592,11.918367346938776,10.938775510204081,4.510204081632653,7.938775510204081,0.3650875785471075,0.0
Pablo Cuevas,180.0,,,,,,,,,,0.7406538334266922,1.0
Robin Haase,190.0,5.0,1.75,87.25,48.25,32.0,19.75,12.0,8.75,12.25,0.616468597225281,0.0
Matthew Ebden,188.0,6.2105263157894735,1.4736842105263157,66.84210526315789,44.0,31.842105263157894,11.68421052631579,10.68421052631579,3.1578947368421053,5.157894736842105,0.841536460235865,0.0
Juan Ignacio Londero,180.0,1.391304347826087,2.9347826086956523,70.8913043478261,42.02173913043478,27.630434782608695,13.5,10.521739130434783,4.695652173913044,7.978260869565218,0.6197962879115917,0.0
Federico Delbonis,190.0,2.75,2.0416666666666665,71.25,46.875,31.333333333333332,11.958333333333334,11.083333333333334,4.083333333333333,6.875,1.0429613314271973,0.0
Aljaz Bedene,181.0,5.4,2.56,66.14,37.34,26.96,14.72,10.52,3.06,5.44,1.2148863733683208,0.0
Pedro Cachin,185.0,2.8,3.2,68.02222222222223,40.15555555555556,26.044444444444444,13.177777777777777,10.4,3.911111111111111,7.4,0.6023687547939975,0.0
Alessandro Giannessi,183.0,2.1458333333333335,3.5416666666666665,66.60416666666667,41.729166666666664,27.333333333333332,11.25,10.25,4.020833333333333,7.25,0.8813806117491947,0.0
Albert Ramos,188.0,,,,,,,,,,0.7032332914059011,1.0
Lorenzo Sonego,191.0,3.78,2.38,72.84,46.22,30.84,13.4,10.98,3.86,6.8,0.6177235333581188,1.0
Roberto Carballes Baena,183.0,2.163265306122449,3.4489795918367347,76.81632653061224,45.183673469387756,29.020408163265305,15.26530612244898,11.26530612244898,5.020408163265306,8.571428571428571,0.6732155908506664,0.0
Marcos Baghdatis,183.0,11.5,7.5,110.5,57.0,40.0,22.0,18.0,1.5,8.0,0.7500181043388897,1.0
Antoine Hoang,183.0,3.282608695652174,3.391304347826087,77.17391304347827,51.08695652173913,34.5,13.043478260869565,11.869565217391305,4.130434782608695,6.956521739130435,0.546084203989826,0.0
Marcel Granollers,190.0,6.5,4.0,95.5,54.0,33.0,19.5,15.0,5.5,11.0,0.42747131410437283,1.0
Yannick Maden,185.0,1.98,2.12,68.94,42.88,27.86,12.76,10.38,4.04,7.1,0.6269996494568939,0.0
Daniel Brands,196.0,7.5,2.0,72.5,46.5,40.5,15.0,11.5,3.0,3.0,0.5261182301213335,0.0
Mikhail Kukushkin,183.0,3.5,1.0,60.0,42.5,31.0,8.5,10.0,3.0,5.0,0.7646541973274497,0.0
Cristian Garin,185.0,3.88,3.14,72.28,41.52,28.06,14.38,10.96,3.86,7.1,0.7179184091491588,1.0
Brayden Schnur,193.0,7.0,4.304347826086956,73.73913043478261,46.34782608695652,33.17391304347826,13.73913043478261,11.152173913043478,3.4347826086956523,5.6521739130434785,0.9290623308055244,0.0
John Isner,206.0,19.11764705882353,3.4705882352941178,94.0,64.52941176470588,50.35294117647059,17.058823529411764,15.058823529411764,2.588235294117647,4.0588235294117645,2.104194725558523,1.0
Paolo Lorenzi,183.0,,,,,,,,,,0.43690704959824134,0.0
Jason Jung,178.0,3.18,3.02,71.58,46.22,30.78,12.48,10.98,3.4,6.26,0.40115805352073053,0.0
Bernard Tomic,193.0,6.117647058823529,2.4411764705882355,82.70588235294117,52.76470588235294,36.38235294117647,15.235294117647058,12.558823529411764,4.617647058823529,7.529411764705882,1.0406531765715716,1.0
Christopher Eubanks,201.0,11.085106382978724,5.404255319148936,77.14893617021276,47.91489361702128,36.06382978723404,14.27659574468085,11.97872340425532,3.4468085106382977,5.659574468085107,1.5065823852439386,0.0
